,0
0,3
1,3
2,4
3,4
4,1
5,1
6,2
7,2
8,0
9,0
10,5
11,6
12,3
13,3
14,4
15,4
16,1
17,1
18,2
19,2
20,0
21,0
22,0
23,6
24,5
25,3
26,3
27,4
28,4
29,1
30,1
31,2
32,2
33,0
34,0
35,5
36,6
37,3
38,3
39,4
40,4
41,5
42,5
43,1
44,1
45,2
46,2
47,0
48,0
49,0
50,6
51,6
52,3
53,3
54,4
55,4
56,1
57,1
58,0
59,0
60,0
61,6
62,6
63,3
64,3
65,4
66,4
67,1
68,1
69,0
70,0
71,0
72,0
73,6
74,6
75,3
76,3
77,4
78,4
79,1
80,1
81,0
82,0
83,0
84,0
85,3
86,3
87,4
88,4
89,1
90,1
91,2
92,2
93,0
94,0
95,0
96,6
97,6
98,3
99,3
100,4
101,4
102,5
103,5
104,1
105,1
106,2
107,2
108,0
109,0
110,6
111,6
112,3
113,3
114,4
115,4
116,1
117,1
118,2
119,2
120,0
121,0
122,0
123,6
124,6
125,3
126,3
127,4
128,4
129,1
130,1
131,2
132,2
133,1
134,0
135,0
136,6
137,6
138,3
139,3
140,4
141,4
142,1
143,1
144,2
145,2
146,2
147,0
148,0
149,6
150,6
151,3
152,3
153,4
154,4
155,5
156,5
157,1
158,1
159,2
160,2
161,0
162,0
163,6
164,6
165,3
166,3
167,4
168,4
169,5
170,5
171,1
172,1
173,2
174,2
175,0
176,0
177,0
178,6
179,6
180,3
181,3
182,4
183,4
184,5
185,5
186,1
187,1
188,2
189,2
190,0
191,0
192,6
193,6
194,3
195,3
196,4
197,4
198,5
199,5
200,1
201,1
202,2
203,2
204,0
205,0
206,0
207,6
208,6
209,3
210,3
211,4
212,4
213,5
214,5
215,1
216,1
217,2
218,2
219,0
220,0
221,6
222,6
223,3
224,3
225,4
226,4
227,5
228,5
229,1
230,1
231,2
232,2
233,0
234,0
235,0
236,6
237,6
238,3
239,3
240,4
241,4
242,5
243,5
244,1
245,1
246,2
247,2
248,0
249,0
250,6
251,6
252,3
253,3
254,4
255,4
256,5
257,5
258,1
259,1
260,2
261,2
262,0
263,0
264,0
265,6
266,6
267,3
268,3
269,4
270,4
271,5
272,5
273,1
274,1
275,2
276,2
277,0
278,0
279,6
280,6
281,3
282,3
283,4
284,4
285,5
286,5
287,1
288,1
289,2
290,2
291,0
292,0
293,0
294,6
295,6
296,3
297,3
298,4
299,4
300,5
301,5
302,1
303,1
304,2
305,2
306,0
307,0
308,6
309,6
310,3
311,3
312,4
313,4
314,5
315,5
316,1
317,1
318,2
319,2
320,0
321,0
322,0
323,6
324,6
325,3
326,3
327,4
328,4
329,4
330,5
331,5
332,1
333,1
334,2
335,2
336,0
337,0
338,0
339,6
340,6
341,3
342,3
343,4
344,4
345,5
346,5
347,1
348,1
349,2
350,2
351,0
352,0
353,6
354,6
355,3
356,3
357,4
358,4
359,5
360,5
361,1
362,1
363,2
364,2
365,0
366,0
367,0
368,6
369,6
370,3
371,3
372,4
373,4
374,5
375,5
376,1
377,1
378,2
379,2
380,0
381,0
382,6
383,6
384,3
385,3
386,4
387,4
388,5
389,5
390,1
391,1
392,2
393,2
394,0
395,0
396,0
397,6
398,6
399,3
400,3
401,4
402,4
403,5
404,5
405,1
406,1
407,2
408,2
409,0
410,0
411,6
412,6
413,3
414,3
415,4
416,4
417,5
418,5
419,1
420,1
421,2
422,2
423,0
424,0
425,0
426,6
427,6
428,3
429,3
430,4
431,4
432,5
433,5
434,1
435,1
436,2
437,2
438,0
439,0
440,6
441,6
442,3
443,3
444,4
445,4
446,5
447,5
448,1
449,1
450,2
451,2
452,0
453,0
454,0
455,6
456,6
457,3
458,3
459,4
460,4
461,5
462,5
463,1
464,1
465,2
466,2
467,0
468,0
469,6
470,6
471,3
472,3
473,4
474,4
475,5
476,5
477,1
478,1
479,2
480,2
481,0
482,0
483,0
484,6
485,0
486,3
487,3
488,4
489,4
490,5
491,5
492,1
493,1
494,2
495,2
496,0
497,0
498,6
499,6
500,3
501,3
502,4
503,4
504,5
505,5
506,1
507,1
508,2
509,2
510,0
511,0
512,0
513,6
514,6
515,3
516,3
517,4
518,4
519,5
520,5
521,1
522,1
523,2
524,2
525,0
526,0
527,6
528,6
529,3
530,3
531,4
532,4
533,5
534,5
535,1
536,1
537,2
538,2
539,0
540,0
541,0
542,6
543,6
544,3
545,3
546,4
547,4
548,5
549,5
550,1
551,1
552,2
553,2
554,0
555,0
556,6
557,6
558,3
559,3
560,4
561,4
562,5
563,5
564,1
565,1
566,2
567,2
568,0
569,0
570,0
571,6
572,6
573,3
574,3
575,4
576,4
577,5
578,5
579,1
580,1
581,2
582,2
583,0
584,0
585,6
586,6
587,3
588,3
589,4
590,4
591,5
592,5
593,1
594,1
595,2
596,2
597,0
598,0
599,0
600,6
601,6
602,3
603,3
604,4
605,4
606,5
607,5
608,1
609,1
610,2
611,2
612,0
613,0
614,6
615,6
616,3
617,3
618,4
619,4
620,5
621,5
622,1
623,1
624,0
625,0
626,0
627,0
628,6
629,6
630,3
631,3
632,4
633,4
634,5
635,5
636,1
637,1
638,0
639,0
640,0
641,6
642,6
643,3
644,3
645,4
646,4
647,5
648,5
649,1
650,1
651,2
652,2
653,0
654,0
655,0
656,6
657,6
658,3
659,3
660,4
661,4
662,5
663,5
664,1
665,1
666,2
667,2
668,0
669,0
670,6
671,6
672,3
673,3
674,4
675,4
676,5
677,5
678,1
679,1
680,2
681,2
682,0
683,0
684,0
685,6
686,6
687,3
688,3
689,4
690,4
691,5
692,5
693,1
694,1
695,2
696,2
697,0
698,0
699,6
700,6
701,3
702,3
703,4
704,4
705,5
706,5
707,1
708,1
709,2
710,2
711,0
712,0
713,0
714,6
715,6
716,3
717,3
718,4
719,4
720,5
721,5
722,1
723,1
724,2
725,2
726,0
727,0
728,6
729,6
730,3
731,3
732,4
733,4
734,5
735,5
736,1
737,1
738,2
739,2
740,0
741,0
742,0
743,6
744,6
745,3
746,3
747,4
748,4
749,5
750,5
751,1
752,1
753,2
754,2
755,0
756,0
757,6
758,6
759,3
760,3
761,4
762,4
763,5
764,5
765,1
766,1
767,2
768,2
769,0
770,0
771,0
772,6
773,6
774,3
775,3
776,4
777,4
778,5
779,5
780,1
781,1
782,2
783,2
784,0
785,0
786,6
787,6
788,3
789,3
790,4
791,4
792,5
793,5
794,1
795,1
796,2
797,2
798,0
799,0
800,0
801,6
802,6
803,3
804,3
805,4
806,4
807,1
808,1
809,2
810,2
811,0
812,0
813,6
814,6
815,3
816,3
817,4
818,4
819,5
820,5
821,1
822,1
823,2
824,2
825,0
826,0
827,0
828,6
829,6
830,3
831,3
832,4
833,4
834,5
835,5
836,1
837,1
838,2
839,2
840,0
841,0
842,6
843,6
844,3
845,3
846,4
847,4
848,5
849,5
850,1
851,2
852,2
853,0
854,0
855,0
856,6
857,6
858,3
859,3
860,4
861,4
862,5
863,5
864,1
865,1
866,2
867,2
868,0
869,0
870,6
871,6
872,3
873,3
874,4
875,4
876,5
877,5
878,1
879,1
880,2
881,2
