,0
0,3
1,3
2,4
3,4
4,1
5,1
6,2
7,2
8,0
9,0
10,0
11,6
12,6
13,3
14,3
15,4
16,4
17,1
18,1
19,2
20,2
21,0
22,0
23,6
24,6
25,3
26,3
27,4
28,4
29,1
30,1
31,0
32,0
33,0
34,6
35,6
36,3
37,3
38,4
39,4
40,1
41,1
42,0
43,0
44,0
45,0
46,6
47,6
48,3
49,3
50,4
51,4
52,1
53,1
54,0
55,0
56,0
57,0
58,3
59,3
60,4
61,4
62,1
63,1
64,2
65,2
66,0
67,0
68,0
69,6
70,6
71,3
72,3
73,4
74,4
75,0
76,1
77,1
78,2
79,2
80,0
81,0
82,6
83,6
84,3
85,3
86,4
87,4
88,1
89,1
90,2
91,2
92,0
93,0
94,0
95,6
96,6
97,3
98,3
99,4
100,4
101,1
102,1
103,0
104,2
105,2
106,0
107,0
108,6
109,6
110,3
111,3
112,4
113,4
114,5
115,5
116,1
117,1
118,2
119,2
120,0
121,0
122,6
123,6
124,3
125,3
126,4
127,4
128,5
129,5
130,1
131,1
132,2
133,2
134,0
135,0
136,0
137,6
138,6
139,3
140,3
141,4
142,4
143,5
144,5
145,1
146,1
147,2
148,2
149,0
150,0
151,6
152,6
153,3
154,3
155,4
156,4
157,0
158,1
159,1
160,2
161,2
162,0
163,0
164,0
165,6
166,6
167,3
168,3
169,4
170,4
171,5
172,5
173,1
174,1
175,2
176,2
177,0
178,0
179,6
180,6
181,3
182,3
183,4
184,4
185,5
186,5
187,1
188,1
189,2
190,2
191,0
192,0
193,0
194,6
195,6
196,3
197,3
198,4
199,4
200,5
201,5
202,1
203,1
204,2
205,2
206,0
207,0
208,6
209,6
210,3
211,3
212,4
213,4
214,5
215,5
216,1
217,1
218,2
219,2
220,0
221,0
222,0
223,6
224,6
225,3
226,3
227,4
228,4
229,5
230,5
231,1
232,1
233,2
234,2
235,0
236,0
237,6
238,6
239,3
240,3
241,4
242,4
243,5
244,5
245,1
246,1
247,2
248,2
249,0
250,0
251,0
252,6
253,6
254,3
255,3
256,4
257,4
258,5
259,5
260,1
261,1
262,2
263,2
264,0
265,0
266,6
267,6
268,3
269,3
270,4
271,4
272,5
273,5
274,1
275,1
276,2
277,2
278,0
279,0
280,0
281,6
282,6
283,3
284,3
285,4
286,4
287,4
288,5
289,5
290,1
291,1
292,2
293,2
294,0
295,0
296,0
297,6
298,6
299,3
300,3
301,4
302,4
303,5
304,5
305,1
306,1
307,2
308,2
309,0
310,0
311,6
312,6
313,3
314,3
315,4
316,4
317,5
318,5
319,1
320,1
321,2
322,2
323,0
324,0
325,0
326,6
327,6
328,3
329,3
330,4
331,4
332,5
333,5
334,1
335,1
336,2
337,2
338,0
339,0
340,6
341,6
342,3
343,3
344,4
345,4
346,5
347,5
348,1
349,1
350,2
351,2
352,0
353,0
354,0
355,6
356,6
357,3
358,3
359,4
360,4
361,5
362,5
363,1
364,1
365,2
366,2
367,0
368,0
369,6
370,6
371,3
372,3
373,4
374,4
375,5
376,5
377,1
378,1
379,2
380,2
381,0
382,0
383,0
384,6
385,6
386,3
387,3
388,4
389,4
390,5
391,5
392,1
393,1
394,2
395,2
396,0
397,0
398,0
399,6
400,6
401,3
402,3
403,4
404,4
405,5
406,5
407,1
408,1
409,2
410,2
411,0
412,0
413,6
414,6
415,3
416,3
417,4
418,4
419,5
420,5
421,1
422,1
423,2
424,2
425,0
426,0
427,0
428,6
429,0
430,3
431,3
432,4
433,4
434,5
435,5
436,1
437,1
438,2
439,2
440,0
441,0
442,6
443,6
444,3
445,3
446,4
447,4
448,5
449,5
450,1
451,1
452,2
453,2
454,0
455,0
456,0
457,6
458,6
459,3
460,3
461,4
462,4
463,5
464,5
465,1
466,1
467,2
468,2
469,0
470,0
471,6
472,6
473,3
474,3
475,4
476,4
477,5
478,5
479,1
480,1
481,2
482,2
483,0
484,0
485,0
486,6
487,6
488,3
489,3
490,4
491,4
492,5
493,5
494,1
495,1
496,2
497,2
498,0
499,0
500,6
501,6
502,3
503,3
504,4
505,4
506,5
507,5
508,1
509,1
510,2
511,2
512,0
513,0
514,0
515,6
516,6
517,3
518,3
519,4
520,4
521,5
522,5
523,1
524,1
525,2
526,2
527,0
528,0
529,6
530,6
531,3
532,3
533,4
534,4
535,5
536,5
537,1
538,1
539,2
540,2
541,0
542,0
543,0
544,6
545,6
546,3
547,3
548,4
549,4
550,5
551,5
552,1
553,1
554,2
555,2
556,0
557,0
558,6
559,6
560,3
561,3
562,4
563,4
564,5
565,5
566,1
567,1
568,0
569,0
570,0
571,0
572,6
573,6
574,3
575,3
576,4
577,4
578,5
579,5
580,1
581,1
582,0
583,0
584,0
585,6
586,6
587,3
588,3
589,4
590,4
591,5
592,5
593,1
594,1
595,2
596,2
597,0
598,0
599,0
600,6
601,6
602,3
603,3
604,4
605,4
606,5
607,5
608,1
609,1
610,2
611,2
612,0
613,0
614,6
615,6
616,3
617,3
618,4
619,4
620,5
621,5
622,1
623,1
624,2
625,2
626,0
627,0
628,0
629,6
630,6
631,3
632,3
633,4
634,4
635,5
636,5
637,1
638,1
639,2
640,2
641,0
642,0
643,6
644,6
645,3
646,3
647,4
648,4
649,5
650,5
651,1
652,1
653,2
654,2
655,0
656,0
657,0
658,6
659,6
660,3
661,3
662,4
663,4
664,5
665,5
666,1
667,1
668,2
669,2
670,0
671,0
672,6
673,6
674,3
675,3
676,4
677,4
678,5
679,5
680,1
681,1
682,2
683,2
684,0
685,0
686,0
687,6
688,6
689,3
690,3
691,4
692,4
693,5
694,5
695,1
696,1
697,2
698,2
699,0
700,0
701,6
702,6
703,3
704,3
705,4
706,4
707,5
708,5
709,1
710,1
711,2
712,2
713,0
714,0
715,0
716,6
717,6
718,3
719,3
720,4
721,4
722,5
723,5
724,1
725,1
726,2
727,2
728,0
729,0
730,6
731,6
732,3
733,3
734,4
735,4
736,5
737,5
738,1
739,1
740,2
741,2
742,0
743,0
744,0
745,6
746,6
747,3
748,3
749,4
750,4
751,0
752,0
753,0
754,0
755,0
756,6
757,6
758,3
759,3
760,4
761,4
762,5
763,5
764,1
765,1
766,2
767,2
768,0
769,0
770,0
771,6
772,6
773,3
774,3
775,4
776,4
777,5
778,5
779,1
780,1
781,2
782,2
783,0
784,0
785,6
786,6
787,0
788,3
789,3
790,4
791,4
792,5
793,5
794,1
795,2
796,2
797,0
798,0
799,0
800,6
801,6
802,3
803,3
804,4
805,4
806,5
807,5
808,1
809,1
810,2
811,2
812,0
813,0
814,6
815,6
816,3
817,3
818,4
819,4
820,5
821,5
822,1
823,1
824,2
825,2
826,0
827,0
828,0
829,6
830,6
831,3
832,3
833,4
834,4
835,5
836,5
837,1
838,1
839,2
840,2
841,0
842,0
843,6
844,6
845,3
846,3
847,4
848,4
849,5
850,5
851,0
852,0
853,0
854,0
855,0
856,0
857,6
858,6
859,3
860,3
861,4
862,4
863,5
864,5
865,1
866,1
867,2
868,2
869,0
870,0
871,6
872,6
873,3
874,3
875,4
876,4
877,5
878,5
879,1
880,1
881,2
