,0
0,3
1,3
2,4
3,4
4,1
5,1
6,1
7,1
8,2
9,2
10,0
11,0
12,0
13,0
14,0
15,6
16,6
17,3
18,3
19,4
20,4
21,1
22,1
23,1
24,1
25,2
26,2
27,0
28,0
29,0
30,0
31,0
32,6
33,6
34,3
35,3
36,4
37,4
38,1
39,1
40,1
41,1
42,2
43,2
44,0
45,0
46,0
47,0
48,0
49,6
50,6
51,3
52,3
53,4
54,4
55,0
56,0
57,1
58,1
59,1
60,1
61,2
62,2
63,0
64,0
65,0
66,0
67,0
68,6
69,6
70,3
71,3
72,4
73,4
74,1
75,1
76,1
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,0
85,6
86,6
87,3
88,3
89,4
90,4
91,1
92,1
93,1
94,1
95,0
96,0
97,0
98,0
99,0
100,0
101,0
102,6
103,6
104,0
105,3
106,3
107,4
108,4
109,1
110,1
111,1
112,1
113,0
114,0
115,0
116,0
117,0
118,0
119,0
120,0
121,3
122,3
123,4
124,4
125,1
126,1
127,1
128,1
129,2
130,2
131,0
132,0
133,0
134,0
135,0
136,6
137,6
138,3
139,3
140,4
141,4
142,0
143,0
144,1
145,1
146,1
147,1
148,2
149,2
150,0
151,0
152,0
153,0
154,0
155,6
156,6
157,3
158,3
159,4
160,4
161,1
162,1
163,1
164,1
165,2
166,2
167,0
168,0
169,0
170,0
171,0
172,6
173,6
174,3
175,3
176,4
177,4
178,1
179,1
180,1
181,1
182,2
183,2
184,0
185,0
186,0
187,0
188,0
189,6
190,6
191,3
192,3
193,4
194,4
195,1
196,1
197,1
198,1
199,0
200,2
201,2
202,0
203,0
204,0
205,0
206,6
207,6
208,3
209,3
210,4
211,4
212,5
213,5
214,1
215,1
216,1
217,1
218,2
219,2
220,0
221,0
222,0
223,0
224,0
225,6
226,6
227,3
228,3
229,4
230,4
231,5
232,5
233,1
234,1
235,1
236,1
237,2
238,2
239,0
240,0
241,0
242,0
243,0
244,6
245,6
246,3
247,3
248,4
249,4
250,5
251,5
252,1
253,1
254,1
255,1
256,2
257,2
258,0
259,0
260,0
261,0
262,0
263,6
264,6
265,3
266,3
267,4
268,4
269,0
270,0
271,1
272,1
273,1
274,1
275,2
276,2
277,0
278,0
279,0
280,0
281,0
282,6
283,6
284,3
285,3
286,4
287,4
288,5
289,5
290,1
291,1
292,1
293,1
294,2
295,2
296,0
297,0
298,0
299,0
300,0
301,6
302,6
303,3
304,3
305,4
306,4
307,5
308,5
309,1
310,1
311,1
312,1
313,2
314,2
315,0
316,0
317,0
318,0
319,0
320,6
321,6
322,3
323,3
324,4
325,4
326,5
327,5
328,1
329,1
330,1
331,1
332,2
333,2
334,0
335,0
336,0
337,0
338,0
339,6
340,6
341,3
342,3
343,4
344,4
345,5
346,5
347,1
348,1
349,1
350,1
351,2
352,2
353,0
354,0
355,0
356,0
357,0
358,6
359,6
360,3
361,3
362,4
363,4
364,5
365,5
366,1
367,1
368,1
369,1
370,2
371,2
372,0
373,0
374,0
375,0
376,0
377,6
378,6
379,3
380,3
381,4
382,4
383,5
384,5
385,1
386,1
387,1
388,1
389,2
390,2
391,0
392,0
393,0
394,0
395,0
396,6
397,6
398,3
399,3
400,4
401,4
402,5
403,5
404,1
405,1
406,1
407,1
408,2
409,2
410,0
411,0
412,0
413,0
414,0
415,6
416,6
417,3
418,3
419,4
420,4
421,5
422,5
423,1
424,1
425,1
426,1
427,2
428,2
429,0
430,0
431,0
432,0
433,0
434,6
435,6
436,3
437,3
438,4
439,4
440,4
441,5
442,5
443,1
444,1
445,1
446,1
447,2
448,2
449,0
450,0
451,0
452,0
453,0
454,6
455,6
456,3
457,3
458,4
459,4
460,5
461,5
462,1
463,1
464,1
465,1
466,2
467,2
468,0
469,0
470,0
471,0
472,0
473,6
474,6
475,3
476,3
477,4
478,4
479,5
480,5
481,1
482,1
483,1
484,1
485,2
486,2
487,0
488,0
489,0
490,0
491,0
492,6
493,6
494,3
495,3
496,4
497,4
498,5
499,5
500,1
501,1
502,1
503,1
504,2
505,2
506,0
507,0
508,0
509,0
510,0
511,6
512,6
513,3
514,3
515,4
516,4
517,5
518,5
519,1
520,1
521,1
522,1
523,2
524,2
525,0
526,0
527,0
528,0
529,0
530,6
531,6
532,3
533,3
534,4
535,4
536,5
537,5
538,1
539,1
540,1
541,1
542,2
543,2
544,0
545,0
546,0
547,0
548,0
549,6
550,6
551,3
552,3
553,4
554,4
555,5
556,5
557,1
558,1
559,1
560,1
561,2
562,2
563,0
564,0
565,0
566,0
567,0
568,6
569,6
570,3
571,3
572,4
573,4
574,5
575,5
576,1
577,1
578,1
579,1
580,2
581,2
582,0
583,0
584,0
585,0
586,0
587,6
588,6
589,3
590,3
591,4
592,4
593,5
594,5
595,1
596,1
597,1
598,1
599,2
600,2
601,0
602,0
603,0
604,0
605,0
606,6
607,6
608,3
609,3
610,4
611,4
612,5
613,5
614,1
615,1
616,1
617,1
618,2
619,2
620,0
621,0
622,0
623,0
624,0
625,6
626,6
627,3
628,3
629,4
630,4
631,5
632,5
633,1
634,1
635,1
636,1
637,2
638,2
639,0
640,0
641,0
642,0
643,0
644,6
645,0
646,3
647,3
648,4
649,4
650,5
651,5
652,1
653,1
654,1
655,1
656,2
657,2
658,0
659,0
660,0
661,0
662,0
663,6
664,6
665,3
666,3
667,4
668,4
669,5
670,5
671,1
672,1
673,1
674,1
675,2
676,2
677,0
678,0
679,0
680,0
681,0
682,6
683,6
684,3
685,3
686,4
687,4
688,5
689,5
690,1
691,1
692,1
693,1
694,2
695,2
696,0
697,0
698,0
699,0
700,0
701,6
702,6
703,3
704,3
705,4
706,4
707,5
708,5
709,1
710,1
711,1
712,1
713,2
714,2
715,0
716,0
717,0
718,0
719,0
720,6
721,6
722,3
723,3
724,4
725,4
726,5
727,5
728,1
729,1
730,1
731,1
732,2
733,2
734,0
735,0
736,0
737,0
738,0
739,6
740,6
741,3
742,3
743,4
744,4
745,5
746,5
747,1
748,1
749,1
750,1
751,2
752,2
753,0
754,0
755,0
756,0
757,0
758,6
759,6
760,3
761,3
762,4
763,4
764,5
765,5
766,1
767,1
768,1
769,1
770,2
771,2
772,0
773,0
774,0
775,0
776,0
777,6
778,6
779,3
780,3
781,4
782,4
783,5
784,5
785,1
786,1
787,1
788,1
789,2
790,2
791,0
792,0
793,0
794,0
795,0
796,6
797,6
798,3
799,3
800,4
801,4
802,5
803,5
804,1
805,1
806,1
807,1
808,2
809,2
810,0
811,0
812,0
813,0
814,0
815,6
816,6
817,3
818,3
819,4
820,4
821,5
822,5
823,1
824,1
825,1
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,6
835,6
836,3
837,3
838,4
839,4
840,5
841,5
842,1
843,1
844,1
845,1
846,0
847,0
848,0
849,0
850,0
851,0
852,0
853,6
854,6
855,3
856,3
857,4
858,4
859,5
860,5
861,1
862,1
863,1
864,1
865,2
866,2
867,0
868,0
869,0
870,0
871,0
872,6
873,6
874,3
875,3
876,4
877,4
878,5
879,5
880,1
881,1
