,0
0,0
1,0
2,0
3,1
4,1
5,1
6,1
7,2
8,2
9,2
10,2
11,6
12,6
13,6
14,3
15,3
16,3
17,4
18,4
19,5
20,5
21,5
22,0
23,0
24,0
25,1
26,1
27,1
28,1
29,2
30,2
31,2
32,6
33,6
34,6
35,3
36,3
37,3
38,4
39,4
40,4
41,5
42,5
43,5
44,5
45,0
46,0
47,0
48,1
49,1
50,1
51,2
52,2
53,2
54,6
55,6
56,6
57,3
58,3
59,3
60,4
61,4
62,4
63,5
64,5
65,5
66,5
67,0
68,0
69,0
70,1
71,1
72,2
73,2
74,2
75,6
76,6
77,6
78,3
79,3
80,3
81,4
82,4
83,4
84,5
85,5
86,5
87,0
88,0
89,0
90,1
91,1
92,1
93,2
94,2
95,2
96,6
97,6
98,6
99,3
100,3
101,3
102,4
103,4
104,5
105,5
106,5
107,0
108,0
109,0
110,1
111,1
112,1
113,2
114,2
115,2
116,6
117,6
118,6
119,3
120,3
121,3
122,4
123,4
124,4
125,5
126,5
127,5
128,0
129,0
130,0
131,1
132,1
133,1
134,2
135,2
136,2
137,6
138,6
139,6
140,3
141,3
142,3
143,4
144,4
145,4
146,5
147,5
148,5
149,0
150,0
151,0
152,1
153,1
154,1
155,2
156,2
157,2
158,6
159,6
160,6
161,3
162,3
163,3
164,4
165,4
166,4
167,4
168,5
169,5
170,5
171,0
172,0
173,0
174,1
175,1
176,1
177,2
178,2
179,2
180,6
181,6
182,6
183,3
184,3
185,3
186,4
187,4
188,4
189,5
190,5
191,5
192,0
193,0
194,0
195,1
196,1
197,1
198,2
199,2
200,2
201,6
202,6
203,6
204,3
205,3
206,3
207,4
208,4
209,4
210,5
211,5
212,5
